,dataset_id,hyperparameter_name,hyperparameter_value,seed,error_rate,runtime
285,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,5,0.0047,3325.0
286,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,8,0.0062,3009.0
287,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,2,0.0155,3654.0
288,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,6,0.0063,5077.0
289,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,1,0.0094,3998.0
290,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,1,0.0094,4145.0
291,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,6,0.0063,5113.0
292,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,8,0.0062,2969.0
293,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,2,0.0155,3612.0
294,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,5,0.0058,3333.0
295,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,7,0.0062,4529.0
296,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,0,0.0047,3070.0
297,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,4,0.0061,3260.0
298,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,3,0.0068,2921.0
299,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,9,0.0034,3991.0
300,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,4,0.0057,3363.0
301,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,3,0.0068,3262.0
302,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,9,0.0034,4471.0
