openmlid,learner,train_size,seed,traintime,error_rate
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,2,1,67,0.9839786381842456
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,4,1,142,0.9799465240641712
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,8,1,85,0.9805630026809652
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,16,1,118,0.9723719676549866
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,32,1,100,0.967983651226158
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,64,1,160,0.9303621169916434
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,128,1,292,0.8739067055393586
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,256,1,635,0.7556270096463023
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,512,1,1207,0.7054655870445344
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,1024,1,3421,0.6197478991596639
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,2,1,63,0.9813084112149532
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,4,1,88,0.9786096256684492
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,8,1,85,0.9865951742627346
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,16,1,81,0.9676549865229108
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,32,1,61,0.9632152588555858
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,64,1,79,0.9575208913649024
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,128,1,69,0.9489795918367347
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,256,1,77,0.8930868167202572
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,512,1,84,0.8441295546558705
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,1024,1,92,0.8445378151260504
1457,<class 'sklearn.linear_model._logistic.LogisticRegression'>,2,1,176,0.9746328437917224
1457,<class 'sklearn.linear_model._logistic.LogisticRegression'>,4,1,545,0.981951871657754
1457,<class 'sklearn.linear_model._logistic.LogisticRegression'>,8,1,898,0.9403485254691688
1457,<class 'sklearn.linear_model._logistic.LogisticRegression'>,16,1,3272,0.9016172506738545
1457,<class 'sklearn.linear_model._logistic.LogisticRegression'>,32,1,2985,0.8589918256130791
1457,<class 'sklearn.linear_model._logistic.LogisticRegression'>,64,1,4386,0.8203342618384402
1457,<class 'sklearn.linear_model._logistic.LogisticRegression'>,128,1,6057,0.7689504373177842
1457,<class 'sklearn.linear_model._logistic.LogisticRegression'>,256,1,6855,0.6463022508038585
1457,<class 'sklearn.linear_model._logistic.LogisticRegression'>,512,1,7312,0.4858299595141701
1457,<class 'sklearn.linear_model._logistic.LogisticRegression'>,1024,1,9775,0.32773109243697474
1457,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,2,1,27,0.9753004005340454
1457,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,4,1,54,0.980614973262032
1457,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,8,1,150,0.943029490616622
1457,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,16,1,207,0.9231805929919136
1457,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,32,1,637,0.9346049046321526
1457,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,64,1,1583,0.8607242339832869
1457,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,128,1,4327,0.8440233236151604
1457,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,256,1,9356,0.6832797427652733
1457,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,512,1,20568,0.5435222672064777
1457,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,1024,1,43525,0.3760504201680672
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,2,1,22,0.9806408544726302
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,4,1,32,0.9779411764705882
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,8,1,49,0.9644772117962468
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,16,1,98,0.9481132075471698
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,32,1,245,0.9168937329700272
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,64,1,499,0.9213091922005572
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,128,1,1071,0.8921282798833821
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,256,1,2542,0.7813504823151125
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,512,1,5769,0.6194331983805668
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,1024,1,14550,0.3697478991596639
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,2,1,37,0.9913217623497996
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,4,1,23,0.982620320855615
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,8,1,18,0.9591152815013404
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,16,1,27,0.910377358490566
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,32,1,30,0.8589918256130791
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,64,1,37,0.8133704735376044
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,128,1,42,0.7762390670553936
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,256,1,80,0.652733118971061
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,512,1,193,0.5091093117408907
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,1024,1,366,0.3907563025210085
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,2,1,16,0.9806408544726302
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,4,1,25,0.9739304812834224
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,8,1,36,0.9725201072386059
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,16,1,62,0.9582210242587601
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,32,1,143,0.9482288828337876
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,64,1,484,0.9059888579387186
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,128,1,1327,0.8411078717201166
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,256,1,2472,0.8118971061093248
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,512,1,6188,0.5668016194331984
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,1024,1,16821,0.3802521008403361
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,2,1,502,0.9806408544726302
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,4,1,473,0.9812834224598932
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,8,1,745,0.960455764075067
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,16,1,848,0.9454177897574124
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,32,1,1050,0.917574931880109
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,64,1,1743,0.8753481894150418
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,128,1,4547,0.8389212827988338
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,256,1,7238,0.7339228295819935
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,512,1,11726,0.6123481781376519
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,1024,1,30516,0.5819327731092436
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,16,1,83,0.981132075471698
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,32,1,68,0.9816076294277928
